,enfp,intj,infj,infp,esfp,esfj,enfj,intp,entj,istj,estj,entp,isfj,isfp,istp,estp
enfp,496,506,1006,696,52,80,394,344,192,56,70,220,106,66,12,24
intj,506,548,1602,956,42,56,272,446,270,72,80,180,144,44,28,26
infj,1006,1602,2710,2122,84,66,514,750,382,148,104,378,256,116,42,12
infp,696,956,2122,844,38,70,358,586,174,92,58,238,178,98,36,16
esfp,52,42,84,38,20,34,42,50,38,10,12,32,18,14,2,8
esfj,80,56,66,70,34,22,50,42,38,14,30,36,32,12,20,10
enfj,394,272,514,358,42,50,182,192,138,38,62,134,94,48,18,18
intp,344,446,750,586,50,42,192,368,162,50,40,258,74,48,26,24
entj,192,270,382,174,38,38,138,162,136,36,54,112,30,26,16,6
istj,56,72,148,92,10,14,38,50,36,14,18,48,22,10,8,2
estj,70,80,104,58,12,30,62,40,54,18,20,50,28,6,6,8
entp,220,180,378,238,32,36,134,258,112,48,50,284,74,40,30,16
isfj,106,144,256,178,18,32,94,74,30,22,28,74,38,38,16,12
isfp,66,44,116,98,14,12,48,48,26,10,6,40,38,48,24,8
istp,12,28,42,36,2,20,18,26,16,8,6,30,16,24,24,4
estp,24,26,12,16,8,10,18,24,6,2,8,16,12,8,4,28
