,infj,intj,intp,infp,estj,esfj,entj,enfj,estp,esfp,entp,enfp,isfj,isfp,istj,istp
infj,42.61655370712672,11.11111111111111,5.647976997330048,15.762990347093858,0.7291024851098787,0.6366810433353871,2.8856027931813513,3.9433148490449788,0.12322858903265559,0.667488190593551,3.470938591086466,7.8044773054015195,1.9203121790922162,0.9242144177449169,1.4068597247894845,0.34914766892585747
intj,23.355041545025827,20.121266561868403,7.927240062878958,15.944307208623401,1.4372333258477432,1.0330114529530654,5.299797889063552,5.030316640467101,0.5838760386256456,0.7186166629238716,3.9748484167976645,9.005165057264765,2.5151583202335503,0.7186166629238716,1.796541657309679,0.5389624971929037
intp,16.575121163166397,9.693053311793214,24.394184168012924,13.957996768982229,1.0339256865912763,1.4539579967689822,3.877221324717286,5.363489499192245,0.5815831987075929,1.4216478190630049,7.366720516962843,8.852988691437803,1.6478190630048466,1.7447495961227786,1.2924071082390953,0.7431340872374798
infp,25.870389520854875,11.099620820406757,7.96277145811789,25.611857980006896,0.7066528783178214,1.189245087900724,2.602550844536367,4.515684246811444,0.3274732850741124,0.6377111340916926,3.4815580834195106,10.013788348845226,2.3440193036883836,1.6028955532574976,1.4133057566356428,0.6204756980351602
estj,15.983606557377051,10.245901639344263,5.532786885245901,12.09016393442623,5.122950819672131,4.508196721311475,8.60655737704918,8.401639344262295,1.2295081967213115,1.4344262295081966,7.377049180327869,10.450819672131148,3.8934426229508197,1.4344262295081966,2.8688524590163933,0.819672131147541
esfj,11.22244488977956,6.613226452905812,7.214428857715431,9.418837675350701,4.008016032064128,9.418837675350701,5.410821643286573,6.613226452905812,1.402805611222445,3.6072144288577155,7.014028056112225,12.424849699398797,6.4128256513026045,3.807615230460922,2.404809619238477,3.006012024048096
entj,17.161290322580644,12.774193548387098,8.193548387096774,9.161290322580646,2.7096774193548385,1.806451612903226,17.225806451612904,6.774193548387098,0.7741935483870968,1.6774193548387095,5.548387096774193,9.741935483870968,2.0,1.4193548387096775,2.258064516129032,0.7741935483870968
enfj,16.797778806108283,9.30124942156409,7.172605275335493,13.373438223044886,2.4525682554372974,2.128644146228598,4.905136510874595,15.594632114761684,0.6478482184173994,1.4807959278111986,4.905136510874595,13.743637204997686,2.776492364645997,2.036094400740398,1.897269782508098,0.7866728366496992
estp,5.150214592274678,7.296137339055794,8.15450643776824,10.72961373390558,1.7167381974248928,2.575107296137339,3.862660944206009,6.008583690987124,26.609442060085836,2.1459227467811157,6.437768240343347,8.15450643776824,3.004291845493562,5.150214592274678,0.4291845493562232,2.575107296137339
esfp,13.471502590673575,6.7357512953367875,8.031088082901555,8.549222797927461,2.072538860103627,5.699481865284974,5.958549222797927,8.290155440414509,1.8134715025906734,10.362694300518134,6.994818652849741,10.103626943005182,4.145077720207254,4.922279792746114,2.33160621761658,0.5181347150259068
entp,12.901631240731588,6.870983687592684,10.084033613445378,9.49085516559565,1.828966880869995,1.532377656945131,4.3499752842313395,4.844290657439446,0.7909045971329708,1.4829461196243203,29.11517548195749,8.699950568462679,2.8175976272862084,1.6312407315867523,1.9278299555116163,1.6312407315867523
enfp,18.174431202600218,9.642470205850486,6.933911159263271,14.409534127843987,1.4355362946912242,1.9772481040086676,3.791982665222102,7.286023835319611,0.5417118093174431,1.2459371614301191,4.956663055254604,24.295774647887324,2.1397616468039002,1.4626218851570965,1.4355362946912242,0.27085590465872156
isfj,19.265033407572382,10.801781737193764,6.45879732739421,16.14699331848552,1.7817371937639197,2.338530066815145,3.11804008908686,8.017817371937639,0.8908685968819599,1.670378619153675,6.23608017817372,10.022271714922049,7.683741648106904,2.4498886414253898,1.55902004454343,1.55902004454343
isfp,13.08562197092084,5.008077544426494,6.623586429725363,11.954765751211632,0.8077544426494345,2.10016155088853,3.231017770597738,6.30048465266559,0.8077544426494345,1.615508885298869,6.138933764135703,9.208400646203554,4.038772213247173,25.20193861066236,1.1308562197092082,2.7463651050080773
istj,18.4,10.4,7.6,12.8,2.4,2.4,6.2,6.2,1.0,1.6,6.6000000000000005,10.0,3.0,1.7999999999999998,8.200000000000001,1.4000000000000001
istp,8.206686930091186,4.86322188449848,9.72644376899696,10.33434650455927,1.82370820668693,3.951367781155015,3.951367781155015,4.86322188449848,0.911854103343465,0.911854103343465,6.990881458966565,4.86322188449848,4.25531914893617,8.206686930091186,1.21580547112462,24.924012158054712
